"title","type","year","length","numVotes","averageRating","director","birthYear","deathYear","genre_animation","genre_action","genre_adventure","genre_comedy","genre_documentary","genre_fantasy","genre_romance","genre_sci_fi","genre_thriller"
"Shoulder Arms","short",1918,36,7243,7.3,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"The Oyster Princess","movie",1919,60,2125,7.2,"Ernst Lubitsch",1892,1947,0,0,0,1,0,0,0,0,0
"Broken Blossoms","movie",1919,90,10875,7.2,"D.W. Griffith",1875,1948,0,0,0,0,0,0,1,0,0
"A Day's Pleasure","short",1919,18,3561,6.6,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"The Cabinet of Dr. Caligari","movie",1920,76,68297,8,"Robert Wiene",1873,1938,0,0,0,0,0,0,0,0,1
"The Doll","movie",1919,66,2299,7.4,"Ernst Lubitsch",1892,1947,0,0,0,1,0,1,0,1,0
"Sunnyside","short",1919,34,3239,6.6,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"Convict 13","short",1920,19,3448,7.1,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Dr. Jekyll and Mr. Hyde","movie",1920,69,5896,6.9,"John S. Robertson",1878,1964,0,0,0,0,0,0,0,1,0
"The Golem","movie",1920,76,8328,7.2,"Paul Wegener",1874,1948,0,0,0,0,0,1,0,0,0
"The Mark of Zorro","movie",1920,79,2718,7.1,"Fred Niblo",1874,1948,0,0,1,0,0,0,1,0,0
"Neighbors","short",1920,18,4556,7.6,"Edward F. Cline",1891,1961,0,0,0,1,0,0,1,0,0
"One Week","short",1920,25,8957,8.1,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"The Penalty","movie",1920,90,2565,7.4,"Wallace Worsley",1878,1944,0,0,0,0,0,0,0,0,1
"The Scarecrow","short",1920,19,4623,7.8,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"Way Down East","movie",1920,145,5784,7.3,"D.W. Griffith",1875,1948,0,0,0,0,0,0,1,0,0
"Within Our Gates","movie",1920,79,3481,6.4,"Oscar Micheaux",1884,1951,0,0,0,0,0,0,1,0,0
"The Boat","short",1921,23,3536,7.1,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"The Four Horsemen of the Apocalypse","movie",1921,150,3501,7.1,"Rex Ingram",1892,1950,0,0,0,0,0,0,1,0,0
"The Goat","short",1921,23,4783,7.7,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"Hard Luck","short",1921,22,2534,6.9,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"The Haunted House","short",1921,21,3507,6.9,"Edward F. Cline",1891,1961,0,0,0,1,0,0,0,0,0
"The 'High Sign'","short",1921,20,3445,7.6,"Edward F. Cline",1891,1961,0,1,0,1,0,0,0,0,0
"The Idle Class","short",1921,32,4084,7.3,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"The Kid","movie",1921,68,132075,8.2,"Charles Chaplin",1889,1977,0,0,0,1,0,0,0,0,0
"The Phantom Carriage","movie",1921,107,13656,8,"Victor Sjöström",1879,1960,0,0,0,0,0,1,0,0,0
"Destiny","movie",1921,97,6530,7.6,"Fritz Lang",1890,1976,0,0,0,0,0,1,0,0,0
"Never Weaken","short",1921,19,2030,7.5,"Fred C. Newmeyer",1888,1967,0,0,0,1,0,0,0,0,1
"Orphans of the Storm","movie",1921,150,5390,7.3,"D.W. Griffith",1875,1948,0,0,0,0,0,0,1,0,0
"The Paleface","short",1922,20,3183,6.8,"Buster Keaton",1895,1966,0,0,0,1,0,0,0,0,0
"The Play House","short",1921,23,4476,7.5,"Edward F. Cline",1891,1961,0,0,0,1,0,1,0,0,0
